node,community
CPR76BA,0
CG3557,6
RAC1,3
PAR-6,21
CG1120,2
NEK2,19
MNT,11
CG7564,11
CG6933,19
EBI-196732,19
CG17086,19
CG13588,2
CG11275,24
GSB,2
CG5168,21
EBI-110745,21
CG1893,17
ATPSYN-BETA,19
CG10103,6
CG14639,0
CG3081,6
MES2,19
CG12299,19
NMO,23
L(3)L1231,12
CG12079,27
TMS1,19
CG14182,0
CG9951,6
CG10664,19
KRN,22
RHO-4,0
SINA,22
CG4328,6
CG13458,6
EBI-154606,24
SU(VAR)3-7,24
PROS25,7
CG12010,7
CG12877,5
NHP2,19
EBI-192791,6
EBI-186934,6
RPL29,6
CG4045,11
CG10721,11
EBI-218559,23
EIF-2BETA,23
CG17265,6
CG17801,6
SCP2,19
VHAPPA1-1,11
CG32016,0
TAF7,15
IF,17
TEN-M,17
RPL19,4
STNB,9
STNA,9
EBI-189006,0
CG10479,32
CG12521,28
CG1324,2
EXO70,6
HR4,6
TRAF1,15
AATS-TYR,4
CG5359,8
CG13843,6
CG12433,6
CG15529,6
EBI-132998,0
CG5445,25
CG13890,0
ENO,0
TRUS,6
CG8319,6
CG10086,21
AND,0
CG1678,0
EBI-195262,6
CG3386,0
CG15136,21
EBI-92615,6
CG10478,27
CG3876,27
CKIIALPHA,2
CG14864,4
CYP9F2,28
CG3402,21
GLCAT-P,21
NUFIP,29
CG5325,29
ZETATRY,29
CG12272,6
RCA1,2
KIS,17
CG10341,17
CG15220,27
CG41099,19
CG9083,0
HP1E,6
CDC6,21
EBI-136347,6
ATG1,2
KLAR,2
EBI-111518,6
EBI-1437765,7
CG18217,8
CG30008,8
CG9632,10
CG11314,10
SIMA,2
CG3099,5
CG12586,6
DAC,3
EYA,3
YIN,28
JRA,7
CG15737,0
HN,9
CG8301,6
MAEL,6
ASF1,12
RPL14,6
HDC,28
EBI-117175,28
RIC8A,28
ACT57B,0
CG11982,19
CG14410,0
NAU,17
CG15829,8
CG11963,2
CG12065,0
CG5703,0
CG11555,12
CG15470,19
CG30115,22
CG1792,19
RBP4,0
BHR,6
BRU-3,0
CG14216,17
BIP1,6
CG11802,2
UBC84D,6
SNAP,9
SYX13,9
GTP-BP,6
CG14506,6
MED22,3
RPS28B,0
CG1314,0
EBI-105534,6
CG32046,4
VPS20,6
CHI,24
CG8605,15
CG7236,2
EPS-15,2
CG1986,8
GRK,22
GFAT1,22
CG11456,17
TPNC41C,17
EBI-126758,0
EBI-114261,17
CG14210,17
SHC,24
MLC-C,6
BUN,19
CG1999,24
MUS205,19
BETAGGT-II,7
CL,0
EBI-208766,0
CCN,19
EBI-194571,19
MIP130,12
ARI-2,6
YP3,7
EBI-104196,2
LANB2,21
CG8997,27
CG10979,6
CG7264,6
EBI-198400,17
CG6707,19
TAF10B,12
Z,10
BAP170,10
EBI-178662,19
EBI-140830,19
DF31,9
CG6891,9
CG16728,6
CG1137,6
CG5933,19
RB,6
EBI-174453,0
GRAF,6
CG8436,24
CG10147,6
NCC69,3
EBI-215615,6
CG11505,0
CG3773,6
ORC6,2
PNUT,2
CA-P60A,15
CG18273,2
CG8745,6
TRBL,6
MUS304,19
