node,community
CDC6,6
EBI-136347,18
ATG1,3
KLAR,3
EBI-111518,8
EBI-1437765,9
CG18217,7
CG30008,7
CG9632,13
CG11314,13
SIMA,3
CG3099,8
CG12586,6
DAC,27
EYA,27
YIN,1
JRA,8
CG15737,6
HN,21
CG8301,8
MAEL,8
ASF1,7
RPL14,8
HDC,2
EBI-117175,14
RIC8A,14
ACT57B,1
CG11982,8
CG14410,1
NAU,13
CG15829,17
CG11963,3
CG12065,14
CG5703,1
CG11555,4
CG15470,6
CG30115,13
CG1792,6
RBP4,1
BHR,8
BRU-3,1
CG14216,13
BIP1,8
CG11802,3
UBC84D,8
SNAP,11
SYX13,11
GTP-BP,6
CG14506,8
MED22,4
RPS28B,9
CG1314,9
EBI-105534,8
CG32046,22
VPS20,8
CHI,3
CG8605,8
CG7236,3
EPS-15,3
CG1986,12
GRK,18
GFAT1,18
CG11456,19
TPNC41C,19
EBI-126758,1
EBI-114261,13
CG14210,6
SHC,19
MLC-C,8
BUN,6
CG1999,9
MUS205,6
BETAGGT-II,14
CL,1
EBI-208766,1
CCN,6
EBI-194571,1
MIP130,16
ARI-2,8
YP3,9
EBI-104196,3
LANB2,0
CG8997,9
CG10979,8
CG7264,8
EBI-198400,6
CG6707,6
TAF10B,16
Z,14
BAP170,14
EBI-178662,6
EBI-140830,1
DF31,11
CG6891,1
CG16728,8
CG1137,8
CG5933,6
RB,8
EBI-174453,1
GRAF,8
CG8436,9
CG10147,8
NCC69,13
EBI-215615,8
CG11505,1
CG3773,8
ORC6,3
PNUT,9
CA-P60A,6
CG18273,3
CG8745,8
TRBL,8
MUS304,23
ALIEN,4
CG15923,4
MRE11,19
CG13838,8
CG12589,8
CG10289,8
PTP61F,17
EBI-88852,1
ART8,12
CG31626,6
PSR,0
GNF1,8
IDH,13
CG2017,1
CG3508,8
CG11672,4
SSH,1
EBI-168948,8
SET,3
CG4554,18
CG9040,20
DEI,1
BYN,7
TEKTIN-A,6
CG16719,6
EBI-196039,1
EIF2B-EPSILON,1
CG6733,2
CDC2RK,3
CG12313,3
EBI-178922,3
CG34376,6
CG31646,3
CG5468,1
SAV,1
ADK3,4
CG9977,6
RPLP1,6
EBI-88763,22
CG15031,1
CG4858,3
CG14104,4
GSC,6
CG9568,14
CG14111,23
CG4367,13
EBI-148445,13
TAF4,16
EBI-109052,6
CG7447,6
CG9425,6
MI-2,18
CG14374,8
EBI-128334,8
CG17018,1
EBI-128341,18
LAP1,12
CG13623,12
CG14708,6
RPS10B,6
TFIIA-L,16
TAF13,16
SLAM,19
ROLS,17
EBI-93840,1
EBI-121129,5
EBI-184637,5
FNE,1
CG8152,3
EBI-115136,1
SRM160,7
CG14071,8
CG1249,7
CG15545,23
RPL23,23
CG32767,8
AP-1SIGMA,8
CG9330,17
CDC37,3
CG17508,3
PCS,8
ART2,8
ART6,8
MUS309,13
CG5924,19
RPL13A,19
CG4229,8
CG5808,7
EBI-252103,8
CG12692,1
FAA,12
CG13139,2
CG6910,2
NUP98,17
EBI-116955,8
CG15440,20
EBI-121822,6
CG8206,6
DYN-P25,3
SPLY,9
EBI-83408,8
CG13083,8
PP1-87B,20
CG6996,6
CG12361,6
DOK,3
CG9684,20
CSN3,3
CG6745,1
